SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
NIFTY,2026-09-29,25750.0,CE,0.0,0.0,0.0,293.5,255.35,0,0.0,0,0,2026-07-30
NIFTY,2026-09-29,25850.0,CE,0.0,0.0,0.0,117.25,231.65,0,0.0,65,0,2026-07-30
NIFTY,2026-09-29,26000.0,CE,40.8,43.7,34.35,40.8,40.8,9437,15973065816.5,2230010,44850,2026-07-30
NIFTY,2026-10-27,22500.0,CE,0.0,0.0,0.0,2002.05,2301.3,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,23750.0,CE,0.0,0.0,0.0,1121.75,1349.75,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,23800.0,CE,0.0,0.0,0.0,1092.35,1317.05,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,24100.0,PE,0.0,0.0,0.0,678.9,526.8,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,22400.0,PE,71.05,71.05,71.05,71.05,110.4,2,2921236.5,130,130,2026-07-30
NIFTY,2026-09-29,31500.0,PE,0.0,0.0,0.0,4341.2,6835.85,0,0.0,0,0,2026-07-30
NIFTY,2026-09-29,27000.0,PE,2510.0,2548.0,2455.0,2484.2,2484.2,165,316500489.5,1426325,-3620,2026-07-30
NIFTY,2026-09-01,25800.0,CE,0.0,0.0,0.0,118.1,94.25,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,25900.0,CE,9.4,11.0,9.2,10.0,10.0,87,146521888.5,8060,910,2026-07-30
NIFTY,2026-09-01,25950.0,CE,0.0,0.0,0.0,97.35,75.25,0,0.0,0,0,2026-07-30
NIFTY,2026-09-29,22050.0,CE,0.0,0.0,0.0,2284.2,2547.75,0,0.0,0,0,2026-07-30
NIFTY,2026-09-29,22650.0,CE,0.0,0.0,0.0,1410.05,2006.9,0,0.0,325,0,2026-07-30
NIFTY,2026-10-27,25950.0,CE,0.0,0.0,0.0,267.4,353.0,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,25250.0,CE,0.0,0.0,0.0,447.85,574.1,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,24650.0,CE,0.0,0.0,0.0,666.75,832.75,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,23850.0,CE,0.0,0.0,0.0,1063.45,1284.75,0,0.0,0,0,2026-07-30
NIFTY,2026-09-29,22200.0,PE,36.0,37.8,33.8,35.4,35.4,158,228362530.5,38545,1170,2026-07-30
NIFTY,2026-09-29,22250.0,PE,39.05,40.35,37.1,37.1,37.1,20,28975898.25,14365,260,2026-07-30
NIFTY,2026-09-29,23150.0,PE,105.05,105.05,96.35,97.45,97.45,91,137523031.75,14690,-195,2026-07-30
NIFTY,2026-09-29,23700.0,PE,200.75,211.0,184.5,186.75,186.75,805,1250296885.5,85475,10920,2026-07-30
NIFTY,2026-09-29,23750.0,PE,210.9,224.25,196.3,198.65,198.65,111,172851451.5,21060,845,2026-07-30
NIFTY,2026-09-29,23950.0,PE,266.85,280.0,247.75,248.55,248.55,44,69250174.5,10725,-195,2026-07-30
NIFTY,2026-09-29,24100.0,PE,315.1,330.95,291.95,298.15,298.15,442,701197958.5,55510,1690,2026-07-30
NIFTY,2026-09-29,24250.0,PE,365.0,386.6,346.15,350.95,350.95,221,353595414.25,17940,3380,2026-07-30
NIFTY,2026-09-29,24400.0,PE,455.4,455.4,404.25,414.35,414.35,839,1353728707.5,92885,22750,2026-07-30
NIFTY,2026-09-29,24600.0,PE,531.0,544.65,493.05,503.95,503.95,164,267750028.0,102180,4810,2026-07-30
NIFTY,2026-09-29,25750.0,PE,0.0,0.0,0.0,1782.8,1404.45,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,22250.0,PE,62.5,62.65,60.0,60.75,60.75,28,40606094.75,1690,1690,2026-07-30
NIFTY,2026-10-27,22650.0,PE,0.0,0.0,0.0,207.45,144.95,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,22800.0,PE,0.0,0.0,0.0,239.4,169.35,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,22850.0,PE,0.0,0.0,0.0,250.85,178.15,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,25750.0,PE,0.0,0.0,0.0,1690.45,1427.9,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,25900.0,PE,0.0,0.0,0.0,1803.6,1533.7,0,0.0,0,0,2026-07-30
NIFTY,2026-12-29,13000.0,PE,0.0,0.0,0.0,9.0,0.0,0,0.0,10670,0,2026-07-30
NIFTY,2026-12-29,26000.0,PE,1402.85,1424.95,1340.0,1354.7,1354.7,627,1115889326.5,1293970,-4455,2026-07-30
NIFTY,2027-03-30,19500.0,PE,71.45,72.85,67.05,68.65,68.65,114,145009692.75,51350,4745,2026-07-30
NIFTY,2028-12-26,27000.0,PE,1701.8,1701.8,1680.0,1695.9,1695.9,5,9325270.5,11930,65,2026-07-30
NIFTY,2028-12-26,28500.0,PE,0.0,0.0,0.0,1451.15,2500.95,0,0.0,0,0,2026-07-30
NIFTY,2029-06-26,24000.0,PE,0.0,0.0,0.0,825.0,860.7,0,0.0,155,0,2026-07-30
NIFTY,2029-12-24,25500.0,PE,0.0,0.0,0.0,597.3,1197.8,0,0.0,0,0,2026-07-30
NIFTY,2029-12-24,31500.0,PE,0.0,0.0,0.0,2240.25,3462.25,0,0.0,0,0,2026-07-30
NIFTY,2030-06-25,21000.0,PE,0.0,0.0,0.0,220.0,347.95,0,0.0,65,0,2026-07-30
NIFTY,2030-06-25,25500.0,PE,0.0,0.0,0.0,568.55,1139.2,0,0.0,0,0,2026-07-30
NIFTY,2030-12-31,21000.0,PE,0.0,0.0,0.0,455.05,346.25,0,0.0,780,0,2026-07-30
NIFTY,2026-10-27,22350.0,CE,0.0,0.0,0.0,2124.25,2429.9,0,0.0,0,0,2026-07-30
NIFTY,2026-09-29,24900.0,CE,232.95,279.0,232.95,262.35,262.35,478,781602458.0,65065,8580,2026-07-30
NIFTY,2026-09-29,24800.0,CE,274.2,321.2,262.65,303.2,303.2,982,1601588573.0,162890,11830,2026-07-30
NIFTY,2026-09-29,24700.0,CE,320.4,356.15,319.0,347.0,347.0,190,309206027.0,74815,-1040,2026-07-30
NIFTY,2026-09-29,21700.0,PE,25.65,26.45,24.4,24.85,24.85,18,25418789.5,13845,-715,2026-07-30
NIFTY,2026-09-01,25550.0,PE,0.0,0.0,0.0,1345.2,1214.85,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,25500.0,PE,0.0,0.0,0.0,1305.4,1174.7,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,25100.0,PE,0.0,0.0,0.0,1005.4,874.3,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,24850.0,PE,0.0,0.0,0.0,836.8,708.2,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,24400.0,PE,325.0,335.85,325.0,335.0,335.0,4,6429855.25,260,195,2026-07-30
NIFTY,2026-09-01,24200.0,PE,273.75,288.45,245.75,253.2,253.2,106,168544099.75,15730,2275,2026-07-30
NIFTY,2026-09-01,23050.0,PE,0.0,0.0,0.0,120.8,69.5,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,22800.0,PE,27.65,30.0,27.2,29.55,43.75,26,38581198.5,2665,0,2026-07-30
NIFTY,2026-08-25,25800.0,PE,1476.9,1479.25,1430.0,1430.0,1430.0,16,28362759.75,9360,-390,2026-07-30
NIFTY,2026-08-25,25150.0,PE,0.0,0.0,0.0,847.6,894.8,0,0.0,455,0,2026-07-30
NIFTY,2026-08-25,24550.0,PE,407.1,430.0,366.1,389.35,389.35,292,473565985.75,18525,7735,2026-07-30
NIFTY,2026-08-25,24150.0,PE,243.85,243.85,193.35,202.15,202.15,5848,9262090149.0,255905,158080,2026-07-30
NIFTY,2026-08-25,23650.0,PE,95.0,98.05,78.3,81.6,81.6,893,1377820626.0,63505,-5005,2026-07-30
NIFTY,2026-08-25,23000.0,PE,29.65,30.5,24.5,26.15,26.15,29089,43540309826.0,2860585,5590,2026-07-30
NIFTY,2026-08-25,21950.0,PE,9.3,10.15,7.9,8.25,8.25,29,41391658.75,2535,325,2026-07-30
NIFTY,2026-08-18,25650.0,PE,0.0,0.0,0.0,1538.0,1294.1,0,0.0,0,0,2026-07-30
NIFTY,2026-08-18,25500.0,PE,0.0,0.0,0.0,1409.7,1160.25,0,0.0,0,0,2026-07-30
NIFTY,2026-08-18,24850.0,PE,0.0,0.0,0.0,905.0,644.35,0,0.0,0,0,2026-07-30
NIFTY,2026-08-18,22550.0,PE,9.25,9.25,7.2,8.0,8.0,24,35191331.5,3315,-325,2026-07-30
NIFTY,2026-08-11,25050.0,PE,0.0,0.0,0.0,800.15,756.6,0,0.0,65,0,2026-07-30
NIFTY,2026-08-11,24800.0,PE,618.3,618.55,491.45,517.2,517.2,276,454668587.75,10140,1430,2026-07-30
NIFTY,2026-08-11,23350.0,PE,16.95,16.95,11.45,12.4,12.4,3940,5983227311.75,74230,19890,2026-07-30
NIFTY,2026-08-11,22650.0,PE,6.2,6.2,4.25,4.75,4.75,180,265059772.25,12935,-2665,2026-07-30
NIFTY,2026-08-04,25300.0,PE,1063.1,1063.1,954.4,996.35,996.35,12,20523958.0,6370,65,2026-07-30
NIFTY,2026-08-04,24750.0,PE,552.05,554.3,424.0,464.5,464.5,2590,4249493261.0,30095,-2730,2026-07-30
NIFTY,2026-08-04,22500.0,PE,1.65,2.25,1.25,1.35,1.35,203810,298094857853.0,4254510,39260,2026-07-30
NIFTY,2026-08-04,22150.0,PE,2.0,2.0,0.9,1.1,1.1,7005,10086105490.5,48945,3315,2026-07-30
NIFTY,2031-06-24,28500.0,CE,0.0,0.0,0.0,5048.95,5490.15,0,0.0,0,0,2026-07-30
NIFTY,2030-06-25,19500.0,CE,0.0,0.0,0.0,11140.25,9474.0,0,0.0,0,0,2026-07-30
NIFTY,2030-06-25,16500.0,CE,0.0,0.0,0.0,13374.05,11638.0,0,0.0,0,0,2026-07-30
NIFTY,2029-12-24,22500.0,CE,0.0,0.0,0.0,8486.15,6918.9,0,0.0,0,0,2026-07-30
NIFTY,2028-12-26,21000.0,CE,0.0,0.0,0.0,7512.5,6736.75,0,0.0,0,0,2026-07-30
NIFTY,2028-06-27,31500.0,CE,0.0,0.0,0.0,1784.8,1062.85,0,0.0,0,0,2026-07-30
NIFTY,2028-06-27,25500.0,CE,0.0,0.0,0.0,4676.6,3208.05,0,0.0,0,0,2026-07-30
NIFTY,2027-12-28,28500.0,CE,675.0,695.0,675.0,690.0,690.0,14,26555386.0,10400,520,2026-07-30
NIFTY,2027-12-28,25500.0,CE,0.0,0.0,0.0,2400.0,2485.05,0,0.0,0,0,2026-07-30
NIFTY,2027-12-28,22500.0,CE,0.0,0.0,0.0,6183.0,4309.35,0,0.0,0,0,2026-07-30
NIFTY,2027-06-29,27000.0,CE,0.0,0.0,0.0,1400.0,1100.15,0,0.0,65,0,2026-07-30
NIFTY,2027-06-29,24000.0,CE,0.0,0.0,0.0,1986.05,2518.15,0,0.0,925,0,2026-07-30
NIFTY,2027-06-29,21000.0,CE,0.0,0.0,0.0,3061.8,4715.55,0,0.0,0,0,2026-07-30
NIFTY,2027-03-30,18000.0,CE,0.0,0.0,0.0,5643.55,7099.6,0,0.0,0,0,2026-07-30
NIFTY,2026-12-29,21000.0,CE,3747.85,3808.35,3730.0,3791.3,3791.3,102,164245441.75,186200,3380,2026-07-30
NIFTY,2026-10-27,26000.0,CE,148.1,148.1,126.6,126.6,126.6,344,584590461.0,19435,19435,2026-07-30
NIFTY,2026-10-27,25450.0,CE,0.0,0.0,0.0,388.6,502.5,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,24500.0,CE,559.9,627.5,559.9,607.35,607.35,697,1136839086.5,57720,26390,2026-07-30
NIFTY,2026-10-27,24200.0,CE,0.0,0.0,0.0,746.15,1071.95,0,0.0,130,0,2026-07-30
NIFTY,2026-10-27,23900.0,CE,0.0,0.0,0.0,1035.05,1252.95,0,0.0,0,0,2026-07-30
NIFTY,2026-10-27,22950.0,CE,0.0,0.0,0.0,1654.95,1932.0,0,0.0,0,0,2026-07-30
NIFTY,2026-08-04,21850.0,CE,0.0,0.0,0.0,2159.6,2485.35,0,0.0,0,0,2026-07-30
NIFTY,2026-08-04,22450.0,CE,0.0,0.0,0.0,1618.4,1885.85,0,0.0,0,0,2026-07-30
NIFTY,2026-08-04,24900.0,CE,2.9,3.55,1.55,1.7,1.7,945442,1530344409889.75,2596230,-438880,2026-07-30
NIFTY,2026-08-04,25250.0,CE,1.0,1.55,0.85,0.95,0.95,51015,83732356028.75,672880,144235,2026-07-30
NIFTY,2026-08-04,25700.0,CE,0.9,1.15,0.6,0.6,0.6,21366,35692901478.0,333125,78975,2026-07-30
NIFTY,2026-08-04,25800.0,CE,0.85,1.0,0.55,0.6,0.6,7360,12343045185.25,182650,12480,2026-07-30
NIFTY,2026-08-04,25900.0,CE,0.75,0.8,0.55,0.55,0.55,7853,13220855661.0,196560,51350,2026-07-30
NIFTY,2026-08-04,26000.0,CE,0.75,0.8,0.5,0.6,0.6,62953,106393112137.0,2209285,202605,2026-07-30
NIFTY,2026-08-11,22500.0,CE,0.0,0.0,0.0,1746.3,1863.05,0,0.0,65,0,2026-07-30
NIFTY,2026-08-11,22750.0,CE,0.0,0.0,0.0,1821.15,1615.55,0,0.0,0,0,2026-07-30
NIFTY,2026-08-11,23100.0,CE,0.0,0.0,0.0,1143.6,1274.8,0,0.0,390,0,2026-07-30
NIFTY,2026-08-11,24150.0,CE,234.8,315.45,216.7,282.35,282.35,3817,6056146434.0,57265,-8775,2026-07-30
NIFTY,2026-08-11,24200.0,CE,224.55,282.5,189.55,247.8,247.8,50016,79422297756.75,1387945,33475,2026-07-30
NIFTY,2026-08-11,25250.0,CE,3.6,5.05,2.9,3.2,3.2,3423,5618743578.5,80795,61425,2026-07-30
NIFTY,2026-08-11,25650.0,CE,1.55,2.1,1.3,1.55,1.55,63,105043727.75,5135,455,2026-07-30
NIFTY,2026-08-11,25750.0,CE,1.7,1.7,1.1,1.2,1.2,32,53562983.5,975,130,2026-07-30
NIFTY,2026-08-18,22800.0,CE,0.0,0.0,0.0,1464.3,1603.15,0,0.0,0,0,2026-07-30
NIFTY,2026-08-18,24750.0,CE,0.0,0.0,0.0,281.05,222.55,0,0.0,0,0,2026-07-30
NIFTY,2026-08-25,21300.0,CE,0.0,0.0,0.0,2725.0,3109.55,0,0.0,3835,0,2026-07-30
NIFTY,2026-08-25,21650.0,CE,0.0,0.0,0.0,2669.3,2761.85,0,0.0,0,0,2026-07-30
NIFTY,2026-08-25,21700.0,CE,0.0,0.0,0.0,2625.1,2712.25,0,0.0,0,0,2026-07-30
NIFTY,2026-08-25,22500.0,CE,1778.0,1884.85,1775.0,1861.95,1861.95,206,325699825.75,323375,6825,2026-07-30
NIFTY,2026-08-25,24450.0,CE,218.65,266.9,203.4,243.6,243.6,1179,1891495892.0,66885,10075,2026-07-30
NIFTY,2026-08-25,25850.0,CE,0.0,0.0,0.0,6.6,54.4,0,0.0,1495,0,2026-07-30
NIFTY,2026-08-25,25900.0,CE,5.0,5.9,4.3,5.15,5.15,2724,4586788150.75,64805,35100,2026-07-30
NIFTY,2026-08-25,26250.0,CE,2.95,3.4,2.6,2.95,2.95,1279,2182540769.5,28860,4745,2026-07-30
NIFTY,2026-09-01,22000.0,CE,0.0,0.0,0.0,2360.9,2456.05,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,22200.0,CE,0.0,0.0,0.0,2171.8,2261.9,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,24450.0,CE,0.0,0.0,0.0,508.95,495.05,0,0.0,0,0,2026-07-30
NIFTY,2026-09-01,24600.0,CE,0.0,0.0,0.0,443.3,424.95,0,0.0,0,0,2026-07-30
NIFTY,2026-09-29,19500.0,CE,4937.15,4965.0,4855.0,4908.85,5032.2,17,26953530.5,141895,0,2026-07-30
NIFTY,2026-09-29,21750.0,CE,0.0,0.0,0.0,2542.45,2829.8,0,0.0,0,0,2026-07-30
NIFTY,2026-09-29,21800.0,CE,0.0,0.0,0.0,2498.75,2782.4,0,0.0,0,0,2026-07-30
NIFTY,2026-08-11,22700.0,PE,6.15,6.15,4.3,4.85,4.85,6493,9582462815.25,180635,-42445,2026-07-30
NIFTY,2026-08-11,22900.0,PE,6.75,6.85,5.5,5.95,5.95,4063,6049355360.75,130650,-8450,2026-07-30
NIFTY,2026-08-11,23550.0,PE,28.4,31.5,19.0,20.35,20.35,6948,10645571495.0,152295,67470,2026-07-30
NIFTY,2026-08-11,25150.0,PE,0.0,0.0,0.0,884.05,840.35,0,0.0,65,0,2026-07-30
NIFTY,2026-08-11,25600.0,PE,0.0,0.0,0.0,1208.35,1248.35,0,0.0,0,0,2026-07-30
NIFTY,2026-08-11,25750.0,PE,0.0,0.0,0.0,1329.6,1391.8,0,0.0,0,0,2026-07-30
NIFTY,2026-08-11,25850.0,PE,0.0,0.0,0.0,1412.8,1488.7,0,0.0,0,0,2026-07-30
NIFTY,2031-06-24,21000.0,PE,0.0,0.0,0.0,450.5,341.45,0,0.0,0,0,2026-07-30
NIFTY,2030-06-25,31500.0,PE,0.0,0.0,0.0,2056.3,3194.15,0,0.0,0,0,2026-07-30
NIFTY,2028-12-26,20000.0,PE,0.0,0.0,0.0,375.0,208.75,0,0.0,2380,0,2026-07-30
NIFTY,2028-06-27,16500.0,PE,0.0,0.0,0.0,3.8,20.0,0,0.0,0,0,2026-07-30
NIFTY,2027-12-28,23000.0,PE,557.0,558.55,525.0,532.5,532.5,57,87216083.5,45335,-520,2026-07-30
