SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
NIFTY,2026-09-29,26150.0,PE,0.0,0.0,0.0,2098.2,2177.15,0,0.0,0,0,2026-07-24
NIFTY,2028-06-27,18000.0,PE,0.0,0.0,0.0,396.75,75.8,0,0.0,0,0,2026-07-24
NIFTY,2027-12-28,30000.0,PE,0.0,0.0,0.0,4150.0,4277.45,0,0.0,130,0,2026-07-24
NIFTY,2027-12-28,22500.0,PE,0.0,0.0,0.0,186.5,589.5,0,0.0,0,0,2026-07-24
NIFTY,2026-07-28,21850.0,CE,0.0,0.0,0.0,2031.2,1931.95,0,0.0,65,0,2026-07-24
NIFTY,2026-07-28,22400.0,CE,1445.0,1445.0,1445.0,1445.0,1382.35,1,1549925.0,715,0,2026-07-24
NIFTY,2026-07-28,23500.0,CE,250.0,376.0,216.0,334.0,334.0,521453,805762254043.5,968175,148005,2026-07-24
NIFTY,2026-07-28,23600.0,CE,192.7,290.0,152.7,250.65,250.65,1839548,2845320152197.25,1045915,678600,2026-07-24
NIFTY,2026-07-28,23700.0,CE,132.9,213.9,102.0,176.9,176.9,4230604,6557223526522.5,4000620,3204565,2026-07-24
NIFTY,2026-07-28,24800.0,CE,1.95,4.2,1.55,1.85,1.85,912804,1471571132593.25,6389240,61490,2026-07-24
NIFTY,2026-07-28,24900.0,CE,2.2,2.45,1.3,1.5,1.5,395335,639898157466.75,3492320,55575,2026-07-24
NIFTY,2026-07-28,25050.0,CE,1.95,2.2,1.15,1.3,1.3,55911,91042952724.75,651365,-274105,2026-07-24
NIFTY,2026-07-28,25400.0,CE,1.15,1.5,0.65,0.75,0.75,156774,258844247333.75,3614390,-299910,2026-07-24
NIFTY,2026-08-04,22750.0,CE,0.0,0.0,0.0,1368.05,1076.2,0,0.0,0,0,2026-07-24
NIFTY,2026-08-04,22800.0,CE,899.85,1055.9,890.0,1038.05,1038.05,66,102275995.25,3900,3900,2026-07-24
NIFTY,2026-08-04,24550.0,CE,19.0,24.65,15.1,18.8,18.8,12702,20285702736.0,223730,64675,2026-07-24
NIFTY,2026-08-04,24600.0,CE,14.15,20.85,14.0,15.15,15.15,62639,100228117548.0,824590,106210,2026-07-24
NIFTY,2026-08-04,24700.0,CE,16.5,16.5,9.0,10.15,10.15,64455,103530124399.0,1005550,445900,2026-07-24
NIFTY,2026-08-04,25100.0,CE,5.2,5.2,2.45,2.6,2.6,43720,71339495893.25,1094535,768820,2026-07-24
NIFTY,2026-08-04,25500.0,CE,2.2,3.0,1.45,1.55,1.55,36875,61125499942.0,965900,529490,2026-07-24
NIFTY,2026-08-11,22700.0,CE,0.0,0.0,0.0,1867.15,1173.65,0,0.0,0,0,2026-07-24
NIFTY,2026-08-11,23250.0,CE,0.0,0.0,0.0,722.6,719.4,0,0.0,390,0,2026-07-24
NIFTY,2026-08-11,23350.0,CE,536.75,616.1,509.8,607.25,646.2,51,79178151.0,2275,1430,2026-07-24
NIFTY,2026-08-11,25500.0,CE,4.45,6.8,2.55,3.35,3.35,2915,4832424434.5,86645,52910,2026-07-24
NIFTY,2026-08-11,25550.0,CE,5.1,5.5,4.5,4.5,4.5,10,16610743.5,2470,0,2026-07-24
NIFTY,2026-08-11,25900.0,CE,3.65,4.85,2.1,2.25,2.25,119,200363348.25,1625,-65,2026-07-24
