SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
NIFTY,2026-09-15,26100.0,PE,0.0,0.0,0.0,1559.2,1692.14,0,0.0,0,0,2026-08-25
NIFTY,2026-09-22,22600.0,PE,0.0,0.0,0.0,41.4,17.26,0,0.0,0,0,2026-08-25
NIFTY,2026-09-22,23300.0,PE,0.0,0.0,0.0,138.95,78.24,0,0.0,0,0,2026-08-25
NIFTY,2026-09-22,23450.0,PE,0.0,0.0,0.0,173.4,102.89,0,0.0,0,0,2026-08-25
NIFTY,2026-09-22,23900.0,PE,0.0,0.0,0.0,314.25,212.92,0,0.0,0,0,2026-08-25
NIFTY,2026-09-22,24300.0,PE,273.0,273.0,169.2,178.4,178.4,395,629500150.5,17550,6370,2026-08-25
NIFTY,2026-09-22,25900.0,PE,0.0,0.0,0.0,1658.45,1498.63,0,0.0,0,0,2026-08-25
NIFTY,2026-09-22,26000.0,PE,0.0,0.0,0.0,1748.6,1589.28,0,0.0,0,0,2026-08-25
NIFTY,2026-09-29,15000.0,PE,1.3,1.35,0.9,0.9,0.9,23,22426885.0,47385,585,2026-08-25
NIFTY,2026-09-29,21900.0,PE,11.95,11.95,10.4,11.1,11.1,145,206513108.75,143390,2730,2026-08-25
NIFTY,2026-09-29,22500.0,PE,16.95,17.5,14.15,14.8,14.8,9984,14611807765.75,2040480,60060,2026-08-25
NIFTY,2026-09-29,22650.0,PE,18.0,21.75,16.35,16.95,16.95,124,182704762.5,13325,1560,2026-08-25
NIFTY,2026-09-29,26950.0,PE,0.0,0.0,0.0,2780.25,2460.83,0,0.0,0,0,2026-08-25
NIFTY,2026-09-29,27000.0,PE,2655.0,2700.5,2474.0,2502.0,2502.0,1369,2634020015.25,1582520,44590,2026-08-25
NIFTY,2026-09-29,31500.0,PE,0.0,0.0,0.0,4341.2,6968.22,0,0.0,0,0,2026-08-25
NIFTY,2026-10-27,22400.0,PE,46.0,46.0,23.65,29.9,29.9,79,115184442.75,39520,-910,2026-08-25
NIFTY,2026-10-27,24100.0,PE,274.35,283.0,194.85,202.15,202.15,745,1178594573.0,30030,7605,2026-08-25
NIFTY,2026-10-27,24150.0,PE,286.8,296.6,209.55,223.95,223.95,267,423644604.5,27365,845,2026-08-25
NIFTY,2026-10-27,25050.0,PE,0.0,0.0,0.0,540.05,900.54,0,0.0,325,0,2026-08-25
NIFTY,2026-10-27,25250.0,PE,920.65,920.65,883.6,883.6,1026.79,2,3399776.25,130,65,2026-08-25
NIFTY,2026-10-27,26100.0,PE,0.0,0.0,0.0,1960.3,1651.79,0,0.0,0,0,2026-08-25
NIFTY,2026-10-27,26900.0,PE,0.0,0.0,0.0,2631.85,2338.68,0,0.0,0,0,2026-08-25
NIFTY,2027-03-30,16500.0,PE,20.25,20.25,20.25,20.25,20.25,1,1073816.25,1560,0,2026-08-25
NIFTY,2027-06-29,19000.0,PE,0.0,0.0,0.0,195.0,24.66,0,0.0,1135,0,2026-08-25
NIFTY,2027-06-29,19500.0,PE,0.0,0.0,0.0,17.3,39.48,0,0.0,0,0,2026-08-25
NIFTY,2027-12-28,18000.0,PE,0.0,0.0,0.0,181.05,26.64,0,0.0,11915,0,2026-08-25
NIFTY,2027-12-28,19000.0,PE,0.0,0.0,0.0,123.05,58.06,0,0.0,4900,0,2026-08-25
NIFTY,2027-12-28,20000.0,PE,172.0,178.0,170.0,171.3,171.3,33,43276938.25,53070,390,2026-08-25
NIFTY,2028-06-27,28500.0,PE,0.0,0.0,0.0,1560.85,2671.93,0,0.0,0,0,2026-08-25
NIFTY,2028-12-26,22000.0,PE,475.0,475.0,475.0,475.0,424.34,1,1460875.0,8670,0,2026-08-25
NIFTY,2030-12-31,30000.0,PE,0.0,0.0,0.0,1450.1,2345.38,0,0.0,0,0,2026-08-25
NIFTY,2031-06-24,24000.0,PE,0.0,0.0,0.0,933.85,701.6,0,0.0,65,0,2026-08-25
NIFTY,2031-06-24,25500.0,PE,0.0,0.0,0.0,1262.85,980.46,0,0.0,0,0,2026-08-25
NIFTY,2031-06-24,28500.0,PE,0.0,0.0,0.0,2104.2,1718.63,0,0.0,0,0,2026-08-25
NIFTY,2031-06-24,30000.0,PE,0.0,0.0,0.0,2616.25,2181.65,0,0.0,0,0,2026-08-25
NIFTY,2026-09-01,25900.0,CE,1.2,1.2,0.7,0.75,0.75,31615,53225709026.75,695890,120445,2026-08-25
NIFTY,2026-09-01,25800.0,CE,1.3,1.45,0.75,0.75,0.75,35928,60253640934.5,1087255,276055,2026-08-25
NIFTY,2026-09-01,25000.0,CE,4.9,4.9,2.3,3.7,3.7,230614,374797626463.0,5233475,1510145,2026-08-25
NIFTY,2026-09-01,24400.0,CE,64.85,113.0,46.3,103.05,103.05,404799,643884882091.75,3426670,961675,2026-08-25
NIFTY,2026-09-01,24350.0,CE,90.1,140.0,61.7,128.75,128.75,181145,287813458348.0,1873365,825630,2026-08-25
NIFTY,2026-09-08,24750.0,CE,31.5,54.0,24.2,45.85,45.85,5685,9158720899.25,157040,72670,2026-08-25
NIFTY,2026-09-01,24250.0,CE,128.55,205.0,97.85,187.85,187.85,233596,370296530594.25,1439685,150280,2026-08-25
NIFTY,2026-09-01,24000.0,CE,270.7,416.7,239.45,396.05,396.05,87562,138294300397.5,753740,197340,2026-08-25
NIFTY,2026-09-01,23350.0,CE,0.0,0.0,0.0,960.1,1017.89,0,0.0,65,0,2026-08-25
NIFTY,2026-08-25,27050.0,CE,0.8,0.8,0.05,0.1,24334.55,1488,2616296689.5,41405,15860,2026-08-25
NIFTY,2026-08-25,25100.0,CE,0.8,0.8,0.05,0.05,24334.55,396731,647277410565.5,2682485,-1493050,2026-08-25
NIFTY,2026-08-25,24850.0,CE,0.9,0.95,0.05,0.1,24334.55,498900,805863372047.5,2559440,170365,2026-08-25
NIFTY,2026-08-25,24100.0,CE,115.0,236.0,46.0,191.45,24334.55,7234486,11371554185199.0,2172690,-1382615,2026-08-25
NIFTY,2026-08-25,23450.0,CE,735.3,883.95,704.55,851.95,24334.55,367,579457264.75,22750,20085,2026-08-25
NIFTY,2026-08-25,22850.0,CE,0.0,0.0,0.0,1435.65,24334.55,0,0.0,1885,0,2026-08-25
NIFTY,2026-08-25,22800.0,CE,1362.1,1525.8,1347.0,1522.65,24334.55,218,344598345.0,16900,12545,2026-08-25
NIFTY,2026-08-25,22400.0,CE,1795.15,1795.15,1795.15,1795.15,24334.55,1,1572684.75,2015,0,2026-08-25
NIFTY,2026-08-25,22250.0,CE,0.0,0.0,0.0,1585.4,24334.55,0,0.0,65,0,2026-08-25
NIFTY,2026-08-25,22200.0,CE,1970.0,1970.0,1962.0,1962.0,24334.55,3,4712630.0,260,0,2026-08-25
NIFTY,2026-08-25,22000.0,CE,2170.0,2341.15,2139.65,2323.9,24334.55,2323,3653777832.25,210860,-23075,2026-08-25
NIFTY,2026-08-25,23500.0,CE,660.85,837.05,633.05,812.2,24334.55,15984,25124702408.0,290030,-12415,2026-08-25
NIFTY,2026-09-01,25950.0,CE,1.25,1.25,0.75,0.8,0.8,562,947989357.25,21580,11830,2026-08-25
NIFTY,2026-09-01,26950.0,CE,1.2,1.2,0.6,0.65,0.65,193,338096482.75,36660,650,2026-08-25
NIFTY,2026-09-08,23800.0,CE,524.1,638.75,462.55,629.45,629.45,228,360881953.25,14495,1560,2026-08-25
NIFTY,2027-06-29,30000.0,CE,0.0,0.0,0.0,1478.4,307.77,0,0.0,0,0,2026-08-25
NIFTY,2027-12-28,24000.0,CE,2841.8,2890.0,2811.0,2890.0,3161.06,12,20940461.75,36270,325,2026-08-25
NIFTY,2028-12-26,18000.0,CE,0.0,0.0,0.0,9380.3,8955.87,0,0.0,0,0,2026-08-25
NIFTY,2028-12-26,24000.0,CE,0.0,0.0,0.0,4700.0,4575.6,0,0.0,1235,0,2026-08-25
NIFTY,2028-12-26,25500.0,CE,0.0,0.0,0.0,3800.0,3719.47,0,0.0,0,0,2026-08-25
NIFTY,2028-12-26,28000.0,CE,0.0,0.0,0.0,2099.45,2551.08,0,0.0,8395,0,2026-08-25
NIFTY,2028-12-26,28500.0,CE,0.0,0.0,0.0,3608.65,2355.03,0,0.0,0,0,2026-08-25
NIFTY,2028-12-26,30000.0,CE,1150.0,1150.0,1097.0,1097.0,1097.0,4,8095555.0,11815,195,2026-08-25
NIFTY,2030-06-25,24000.0,CE,0.0,0.0,0.0,8591.55,6431.14,0,0.0,0,0,2026-08-25
NIFTY,2030-06-25,33000.0,CE,0.0,0.0,0.0,4416.45,2537.81,0,0.0,0,0,2026-08-25
NIFTY,2030-12-31,22500.0,CE,0.0,0.0,0.0,9536.95,7912.14,0,0.0,0,0,2026-08-25
NIFTY,2030-12-31,27000.0,CE,0.0,0.0,0.0,6772.8,5435.95,0,0.0,0,0,2026-08-25
NIFTY,2026-08-25,21300.0,PE,0.15,0.35,0.05,0.1,24334.55,25593,35433813249.25,193050,-628680,2026-08-25
NIFTY,2026-08-25,21400.0,PE,0.15,0.35,0.05,0.05,24334.55,22197,30876307780.5,143390,-452660,2026-08-25
NIFTY,2026-08-25,22050.0,PE,0.3,0.35,0.05,0.05,24334.55,4302,6165892261.75,68640,-22360,2026-08-25
NIFTY,2026-08-25,22350.0,PE,0.25,0.3,0.05,0.1,24334.55,6547,9511234612.75,146770,-17095,2026-08-25
NIFTY,2026-08-25,22500.0,PE,0.4,0.5,0.05,0.05,24334.55,110202,161172039905.5,1288495,-722800,2026-08-25
NIFTY,2026-08-25,22800.0,PE,0.5,0.65,0.05,0.05,24334.55,41181,61031027495.75,407160,-419510,2026-08-25
NIFTY,2026-08-25,24750.0,PE,602.0,616.05,414.9,439.35,24334.55,3266,5366439386.75,91845,-11765,2026-08-25
NIFTY,2026-08-25,25300.0,PE,1130.0,1170.0,963.6,1005.85,24334.55,976,1675230417.25,37050,-21580,2026-08-25
NIFTY,2026-08-25,25550.0,PE,1393.0,1409.75,1219.55,1219.55,24334.55,81,141839577.75,715,-4420,2026-08-25
NIFTY,2026-08-25,26250.0,PE,0.0,0.0,0.0,2145.8,24334.55,0,0.0,65,0,2026-08-25
NIFTY,2026-08-25,26500.0,PE,2464.15,2464.15,2169.85,2181.1,24334.55,81,151740712.5,3575,-195,2026-08-25
NIFTY,2026-08-25,26650.0,PE,0.0,0.0,0.0,2498.25,24334.55,0,0.0,0,0,2026-08-25
NIFTY,2026-08-25,26750.0,PE,0.0,0.0,0.0,2584.3,24334.55,0,0.0,0,0,2026-08-25
NIFTY,2026-09-01,22250.0,PE,2.55,2.55,1.2,1.4,1.4,1000,1446354575.25,17680,12610,2026-08-25
NIFTY,2026-09-01,22750.0,PE,3.4,3.45,1.8,2.15,2.15,1428,2111868300.75,45175,14105,2026-08-25
NIFTY,2026-09-01,23100.0,PE,4.6,4.65,2.6,3.1,3.1,33501,50308634567.75,701220,257985,2026-08-25
NIFTY,2026-09-01,23400.0,PE,6.9,6.9,4.15,4.7,4.7,157843,240128654863.5,3839485,2636725,2026-08-25
NIFTY,2026-09-01,23800.0,PE,26.05,29.4,8.0,9.55,9.55,219404,339628239899.0,3069820,338260,2026-08-25
NIFTY,2026-09-01,24750.0,PE,518.25,561.8,365.05,380.65,380.65,957,1565322707.0,33475,27365,2026-08-25
NIFTY,2026-09-01,25950.0,PE,0.0,0.0,0.0,1679.0,1585.68,0,0.0,0,0,2026-08-25
NIFTY,2026-09-01,26950.0,PE,0.0,0.0,0.0,2597.5,2584.1,0,0.0,0,0,2026-08-25
NIFTY,2026-09-08,22650.0,PE,4.45,4.75,4.45,4.75,2.54,7,10307872.25,3185,325,2026-08-25
NIFTY,2026-09-08,23100.0,PE,8.5,8.55,5.65,6.35,6.35,1804,2709479695.0,70785,6435,2026-08-25
NIFTY,2026-09-08,24300.0,PE,220.0,231.4,110.15,122.9,122.9,25210,40096917594.5,542620,-390,2026-08-25
NIFTY,2026-09-08,24600.0,PE,432.0,439.05,262.95,278.15,278.15,1224,1983970615.25,66365,24245,2026-08-25
