""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 21, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,297064,55345,3479598,248080,3801153,3759123,3618526,4586864,2905043,931836,1547786,1292356,15173817,11348957
DII,40954,27774,372103,4583596,8707,69560,2590,0,4196,45676,417945,25357,541196,5057262
FII,47731,338277,3458177,2953459,724548,1393670,980904,755240,247834,439013,514178,234738,6310973,5776796
Pro,64099,28452,916159,440902,1157470,1416784,1089858,1297033,1060451,1136396,1737615,1000470,5751359,5594330
TOTAL,449848,449848,8226037,8226037,5691878,6639137,5691878,6639137,4217524,2552921,4217524,2552921,27777345,27777345
