""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 07, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,269796,50886,3427173,209033,4830139,2778365,4462619,3667673,2388593,762067,1293980,1180554,14456132,10864745
DII,42493,31440,325074,4621664,4901,31134,1251,40,4896,44418,338965,17972,452916,5011332
FII,34987,285080,3444092,2842499,798438,1104502,1096540,473355,135551,282147,319748,144695,5799717,5161917
Pro,50324,30194,846402,369545,1448678,1150500,1521746,923433,814909,986184,1391256,731595,5296997,4967769
TOTAL,397600,397600,8042741,8042741,7082155,5064501,7082155,5064501,3343949,2074816,3343949,2074816,26005762,26005762
