""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 08, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,276494,50856,3429721,216735,2723552,1729532,2379913,2473152,2456512,785256,1341097,1188470,11401067,7650224
DII,43447,32175,326160,4626984,5201,30873,1768,40,4881,44484,355950,19557,455046,5036474
FII,37183,298740,3442999,2851127,462231,971982,764313,321337,142727,299254,336795,151177,5356376,4723489
Pro,54219,29572,862396,366430,839189,669242,884179,607100,841478,999963,1411756,769753,4266487,4068790
TOTAL,411343,411343,8061276,8061276,4030173,3401629,4030173,3401629,3445598,2128957,3445598,2128957,21478977,21478977
