""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 07, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,34537,25469,195922,162858,23398465,27061928,23256815,27234978,1116698,435594,998200,461662,52243144,52139982
DII,108,424,45579,66530,462,2511,707,3524,2591,485,27957,640,51736,99782
FII,9353,23608,167325,195875,3722230,3781905,3716878,3731669,247437,164755,259788,145472,8093005,8073290
Pro,16356,10853,225646,209209,34912853,31948023,35059610,31824196,1893881,1080950,1974662,1074010,70077709,70152540
TOTAL,60354,60354,634472,634472,62034010,62794367,62034010,62794367,3260607,1681784,3260607,1681784,130465594,130465594
