""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 10, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,286829,55858,3460539,214728,3945571,2355516,3565411,3170018,2667819,810266,1399887,1218663,13526540,9624565
DII,43284,28392,354539,4636004,5401,50538,3901,0,4876,44620,376637,20925,503258,5065859
FII,39694,321538,3455879,2913959,628810,1124731,947681,461967,169324,348996,388483,168014,5767435,5201642
Pro,66741,30760,878487,384753,1124666,917176,1187456,815976,882860,1042456,1559872,838736,4912387,4817553
TOTAL,436548,436548,8149444,8149444,5704449,4447961,5704449,4447961,3724879,2246338,3724879,2246338,24709619,24709619
