""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 25, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,55529,57241,853697,837362,21171139,22804892,21388389,22779802,1916410,1220976,1993262,1160419,48022643,48216475
DII,24985,25860,908128,930064,1138,8710,879,12933,39133,14509,41508,16594,996603,1027838
FII,63979,66158,2365121,2352190,3148303,3158198,3128280,3160569,513075,268981,520282,273084,9517657,9500563
Pro,25684,20918,719277,726607,27157443,27605701,26960475,27624197,3671367,2495520,3584933,2549889,61674992,61467019
TOTAL,170177,170177,4846223,4846223,51478023,53577501,51478023,53577501,6139985,3999986,6139985,3999986,120211895,120211895
