""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 23, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,26667,32133,474169,469967,11097756,10134814,11214867,10098719,1776191,761349,1822105,723934,24270946,24361725
DII,1072,2051,295458,293820,535,18447,247,150,9533,2785,9199,3044,327830,308511
FII,16561,12266,440651,438254,1839985,1561156,1772408,1651018,451782,232402,447819,237142,4542537,4558907
Pro,12694,10544,330061,338298,12276365,11714367,12227119,11678897,3414293,1841180,3372676,1873596,29588960,29501130
TOTAL,56994,56994,1540339,1540339,25214641,23428784,25214641,23428784,5651799,2837716,5651799,2837716,58730273,58730273
