""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 17, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,34061,28415,223501,212223,12690778,12120536,12698711,12222080,1403240,589891,1457010,587157,27062007,27205596
DII,517,205,81935,82699,1450,5590,777,1080,6367,2929,8989,2505,98788,96255
FII,7394,9332,223091,219603,2509471,2656089,2504157,2623541,377933,214213,386004,218794,5988191,5961431
Pro,14487,18507,246788,260790,17505712,15992474,17503766,15927988,2896446,1603124,2831983,1601701,38259031,38144735
TOTAL,56459,56459,775315,775315,32707411,30774689,32707411,30774689,4683986,2410157,4683986,2410157,71408017,71408017
