""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 24, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,310605,64494,3532780,254431,4083988,2429177,3693244,3396677,2877885,864225,1473248,1291698,14098660,10173792
DII,39984,32538,372550,4581367,12134,82890,1995,0,4371,47648,416081,28663,559577,5060644
FII,43743,353565,3470181,2988101,884812,1309440,1145805,623287,241984,464495,537671,226564,6414655,5874992
Pro,87061,30796,949923,501535,1178631,1102706,1318522,904249,1154857,1258898,1852097,1088341,5732076,5695540
TOTAL,481393,481393,8325434,8325434,6159565,4924212,6159565,4924212,4279097,2635266,4279097,2635266,26804968,26804968
