""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 10, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,26533,26042,169617,163788,10895809,10940881,10842305,10923705,1102366,433272,1019079,436461,23568478,23411380
DII,1090,809,81435,57671,886,2700,820,1835,5007,1251,17790,1677,92369,80602
FII,7959,13553,158697,181245,2025949,1854330,2002177,1851818,291254,182550,303122,167899,4520739,4519814
Pro,13384,8562,208282,215327,15149373,12369600,15226715,12390153,1977283,1121506,2035919,1132542,30839428,31009218
TOTAL,48966,48966,618031,618031,28072017,25167511,28072017,25167511,3375910,1738579,3375910,1738579,59021014,59021014
