""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 18, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,297981,56561,3469998,230281,3604780,3094248,3371765,3890845,2885665,878682,1528415,1278326,14231354,10356193
DII,40741,27774,365915,4599506,8009,57485,2390,200,5026,45742,403221,24956,522918,5058047
FII,48406,336834,3448501,2947706,690977,1299085,959379,668632,231500,431865,501288,222460,6150334,5636299
Pro,64601,30560,906936,413857,1111636,1192066,1081869,1083208,1033584,1128123,1722851,958670,5436946,5291014
TOTAL,451729,451729,8191350,8191350,5415402,5642884,5415402,5642884,4155775,2484412,4155775,2484412,26341553,26341553
