""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 25, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,310325,65926,3545318,250634,3903133,2935201,3729638,3877611,2807925,910560,1480140,1277476,14412461,10681425
DII,40198,33627,381501,4612254,12484,78667,2086,0,4156,45854,418241,28954,562860,5095162
FII,46305,358306,3498393,3003382,857125,1401782,1098094,717999,222884,460751,525778,226923,6487239,5930483
Pro,91203,30172,953111,512053,1296952,1290105,1239875,1110144,1188674,1250947,1799480,1134759,6070992,5826483
TOTAL,488031,488031,8378323,8378323,6069693,5705755,6069693,5705755,4223639,2668112,4223639,2668112,27533553,27533553
