""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 22, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,300851,55140,3499040,256318,2691260,1888142,2385339,2615197,2898101,907093,1529142,1304441,12184486,8145577
DII,40955,27774,374952,4580844,12609,63189,1975,0,4796,45523,415963,26284,542024,5052840
FII,40257,343165,3476168,2969294,561866,1066896,818240,424670,256465,447049,519238,238869,5848701,5313476
Pro,70336,26320,933538,477242,723801,709217,783981,687577,1089227,1181000,1784246,1011071,4707118,4770437
TOTAL,452399,452399,8283698,8283698,3989535,3727444,3989535,3727444,4248589,2580665,4248589,2580665,23282330,23282330
