""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 21, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,29865,29566,280821,289020,24842423,22222130,24892812,22253274,1725563,736889,1725556,697765,49837691,49887993
DII,213,0,141981,119883,998,12950,500,675,6609,1201,22163,1668,163952,144889
FII,11620,13738,216535,212612,2538619,3056332,2526573,3048355,429980,221974,426536,227104,6475060,6454918
Pro,12642,11036,266411,284233,30794257,31074755,30756412,31063863,3176285,1767342,3164182,1800869,67091692,67080595
TOTAL,54340,54340,905748,905748,58176297,56366167,58176297,56366167,5338437,2727406,5338437,2727406,123568395,123568395
