""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 18, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,29439,26967,250336,238901,19149604,18168222,19206986,18252641,1718361,709930,1730456,716933,40025892,40172884
DII,177,68,104281,84504,1520,3050,150,600,3078,230,1811,875,112336,88008
FII,9610,7997,246628,285398,2671215,2780101,2656725,2762358,427035,251287,433715,236756,6385876,6382949
Pro,10806,15000,317735,310177,21647413,22040050,21605891,21975824,3145708,1769621,3128200,1776504,48931333,48811596
TOTAL,50032,50032,918980,918980,43469752,42991423,43469752,42991423,5294182,2731068,5294182,2731068,95455437,95455437
