Financial_Year,Folder,Expiry_Date,Trading_Days,Total_Contracts,Action
FY_2026-27,FY_2026-27\2026-07-07_Expiry_0001,2026-07-07,4,307597110,created
FY_2026-27,FY_2026-27\2026-07-14_Expiry_0002,2026-07-14,1,387084296,created
