""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 09, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,45391,40549,266612,239616,12987876,13272807,13004858,13360865,1404917,610992,1335687,612986,28588595,28594561
DII,4028,689,90592,94997,300,21276,2299,2436,3359,1025,11268,1831,120580,113520
FII,13181,27874,237057,264461,2262166,2233451,2302727,2223844,377601,233754,390824,215500,5357210,5425230
Pro,26872,20360,300476,295663,17521328,13355450,17461786,13295839,2531904,1479824,2580002,1495278,35215854,35148928
TOTAL,89472,89472,894737,894737,32771670,28882984,32771670,28882984,4317781,2325595,4317781,2325595,69282239,69282239
