""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 24, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,90077,84211,697463,666038,11787147,12781442,11585213,13057982,1892625,1010741,1811033,1078281,28259495,28282758
DII,8840,13596,674296,678859,1403,9653,2186,8249,17010,4091,17887,4086,715293,724863
FII,45488,56697,1951908,1979099,2743832,3114978,2816028,2981189,559426,331649,596303,297158,8747281,8726474
Pro,44700,34601,681127,680798,18200643,18791501,18329598,18650154,3937949,2680507,3981787,2647463,44336427,44324401
TOTAL,189105,189105,4004794,4004794,32733025,34697574,32733025,34697574,6407010,4026988,6407010,4026988,82058496,82058496
