""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 17, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,295116,56168,3456527,228245,3393646,2677261,3103248,3389439,2866826,855196,1497481,1247837,13544572,9522418
DII,40622,27764,364586,4617954,6939,54885,2690,50,4956,45751,404418,24320,517739,5077196
FII,47548,337589,3469011,2929446,645825,1186632,928717,573922,216412,408857,479520,213983,5974285,5463176
Pro,68177,29942,896062,410541,1062451,1021913,1074206,977280,1013377,1118622,1720152,942286,5180602,5154407
TOTAL,451463,451463,8186186,8186186,5108861,4940690,5108861,4940690,4101571,2428426,4101571,2428426,25217197,25217197
