""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 09, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,283444,52964,3457157,217175,3465517,2015007,3138861,2846685,2559766,804871,1375121,1210079,12585762,8840885
DII,43738,29127,342847,4648076,5201,49673,3767,0,4881,44507,363859,20386,490847,5065215
FII,39027,315277,3454240,2889772,563759,1070563,906402,410311,162816,331321,370107,164990,5621726,5056858
Pro,63306,32147,881001,380222,1088947,796832,1074395,675079,870274,1026080,1488650,811324,4726440,4461817
TOTAL,429515,429515,8135245,8135245,5123424,3932075,5123424,3932075,3597737,2206779,3597737,2206779,23424775,23424775
