""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 11, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,286353,54865,3478897,213571,3847943,3126037,3618281,3879158,2716400,819413,1427016,1225584,14275043,10418475
DII,43743,29395,352254,4643802,5401,56824,3350,0,4876,44620,384382,22696,507718,5083625
FII,41252,326134,3454581,2934979,675792,1331606,962890,661895,182248,371833,415155,174485,6057312,5475538
Pro,66613,27567,897564,390944,1175140,1180310,1119754,1153725,934985,1075568,1611956,888669,5330180,5192615
TOTAL,437961,437961,8183296,8183296,5704276,5694777,5704276,5694777,3838509,2311434,3838509,2311434,26170253,26170253
