""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 16, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,29767,35928,199404,223965,11146213,11867736,11282650,11690889,1284084,700483,1293753,648377,25227687,25175562
DII,1813,2989,72125,75613,1011,16800,826,19945,2583,1287,10534,1438,95619,111345
FII,12350,9401,235858,199794,2351436,2198383,2326601,2296741,323468,226715,334471,224477,5348210,5391485
Pro,19595,15207,275010,283025,13570878,12625457,13459461,12700801,2665893,1631886,2637270,1686079,30788719,30781843
TOTAL,63525,63525,782397,782397,27069538,26708376,27069538,26708376,4276028,2560371,4276028,2560371,61460235,61460235
