""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 11, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,44157,43640,268076,248561,27516628,23920845,27667127,23859464,1505513,678647,1484061,676421,53933866,53979274
DII,534,1078,84903,94986,1051,6808,500,522,29262,1028,37007,2799,123586,136892
FII,15377,18415,228769,251087,4982374,4574808,4950601,4567861,403056,230504,416804,214138,10434888,10418906
Pro,29537,26472,306038,293152,41102159,28828146,40983984,28902760,2871034,1646939,2870993,1663760,74783853,74741121
TOTAL,89605,89605,887786,887786,73602212,57330607,73602212,57330607,4808865,2557118,4808865,2557118,139276193,139276193
