""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 22, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,41274,37282,397842,386638,55855525,59184051,55873717,59356202,1833798,730936,1822096,767764,118043426,118243699
DII,101,100,255509,249908,5439,625,922,475,6619,2043,4037,3123,270336,258565
FII,23077,35439,316960,314804,6525996,6499020,6637603,6553832,449660,236447,446089,232542,14051160,14220309
Pro,23626,15257,317762,336723,93942264,95680388,93816982,95453575,3465361,1945069,3483216,1911066,195374470,195016819
TOTAL,88078,88078,1288073,1288073,156329224,161364084,156329224,161364084,5755438,2914495,5755438,2914495,327739392,327739392
