""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 15, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,292649,53186,3464797,223232,2831955,1649909,2397187,2437390,2858531,781460,1425747,1228941,11879301,7765683
DII,43240,29518,353928,4603044,5101,53470,1710,0,4960,44522,393849,23364,505221,5051485
FII,46258,337310,3431913,2931900,528339,1058367,841380,379847,198364,387836,442398,190619,5651077,5123453
Pro,68738,30871,901170,393632,833958,725089,959076,669598,946772,1114307,1746633,885201,4590034,4685011
TOTAL,450885,450885,8151808,8151808,4199352,3486835,4199352,3486835,4008627,2328125,4008627,2328125,22625632,22625632
