""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 23, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,294244,53999,3516943,270019,3012081,2535022,2823271,3225982,2839628,941135,1516583,1301068,13139053,9190923
DII,39976,27774,374226,4578480,12644,81486,1722,0,4804,45935,415637,26955,559071,5050568
FII,40611,339224,3496486,2987215,705480,1132740,894277,580376,255190,446659,514000,243219,6077167,5558311
Pro,72732,26566,958712,510653,899939,938739,910874,881630,1124594,1191982,1777996,1054469,5186699,5162188
TOTAL,447563,447563,8346367,8346367,4630145,4687988,4630145,4687988,4224216,2625711,4224216,2625711,24961990,24961990
